,latent,batch_size,l2_reg,neighborhood,rep,ndcg,hr,mep,wmep,avg_pop,efd,avg_pair_sim
0,100.0,50.0,0.001,20.0,0.0,0.40427228115806657,0.6808059384941676,0.9272534464475061,0.35372746553552553,0.470031600961564,1.207129803364801,0.2608768541042557
1,100.0,50.0,0.001,20.0,1.0,0.41916624144767234,0.7009544008483564,0.9274655355249186,0.3506680805938497,0.467910625161053,1.2124781807859557,0.2591594634435421
2,100.0,50.0,0.001,20.0,2.0,0.407979768413676,0.6914103923647932,0.9294803817603373,0.3576033934252386,0.4740515914264457,1.1953750821300935,0.2658578827933223
3,20.0,50.0,0.001,20.0,0.0,0.4040311776231065,0.6776246023329798,0.9285259809119815,0.3584835630965005,0.4702069298720543,1.2034429561454136,0.26585202519661516
4,20.0,50.0,0.001,20.0,1.0,0.3951741345659432,0.6680805938494168,0.9316012725344631,0.3612460233297985,0.4727776531075615,1.19757450966393,0.26895634688593806
5,20.0,50.0,0.001,20.0,2.0,0.4058419714072923,0.6818663838812301,0.9234358430540808,0.3558854718981974,0.47362474408779803,1.1929805249794119,0.2690720564392017
6,10.0,500.0,0.0,20.0,0.0,0.3482068967012431,0.5949098621420997,0.9060445387062551,0.3486267232237546,0.49984128557435015,1.081385264058616,0.2917997800752529
7,10.0,500.0,0.0,20.0,1.0,0.3428997868766017,0.6044538706256628,0.9029692470837736,0.3479480381760341,0.5050961866856346,1.063413500239482,0.2960291862788456
8,10.0,500.0,0.0,20.0,2.0,0.3384244181537863,0.5885471898197243,0.903499469777305,0.3496871686108173,0.5100470670585703,1.0507166177599043,0.2977252936509745
9,20.0,100.0,0.0,20.0,0.0,0.4021545603136277,0.6776246023329798,0.9211028632025425,0.3576246023329791,0.4723290020053286,1.1992911692637105,0.27012046934093814
10,20.0,100.0,0.0,20.0,1.0,0.3986388462486141,0.6648992576882291,0.9254506892894999,0.3589289501590667,0.4744523692710396,1.193375309842717,0.2696487871040967
11,20.0,100.0,0.0,20.0,2.0,0.3980046117215829,0.6712619300106044,0.9237539766702001,0.3578791092258751,0.47646012570074475,1.1796287472076201,0.2716968921820468
12,20.0,50.0,1e-05,20.0,0.0,0.40418043942767334,0.6733828207847296,0.923117709437962,0.3547826086956527,0.4728884083527896,1.196788508987976,0.26733456173263764
13,20.0,50.0,1e-05,20.0,1.0,0.4015394416852949,0.6808059384941676,0.9211028632025433,0.35463414634146306,0.474846193979861,1.1921539224685227,0.26996349899361854
14,20.0,50.0,1e-05,20.0,2.0,0.4002502925300379,0.6755037115588547,0.9220572640508989,0.35722693531283145,0.471660142211531,1.202205550015964,0.268339988012433
15,100.0,100.0,0.0,20.0,0.0,0.4130016560784713,0.6924708377518558,0.9176033934252369,0.34715800636267224,0.4662430440981014,1.2205365517852869,0.2587984327734268
16,100.0,100.0,0.0,20.0,1.0,0.422222378240534,0.694591728525981,0.9243902439024368,0.3533934252386003,0.466650360637308,1.2194525394168307,0.26090051858761654
17,100.0,100.0,0.0,20.0,2.0,0.41733368654337055,0.694591728525981,0.9273594909862128,0.358096500530223,0.46849760616152114,1.2143789041957438,0.2615952330777878
18,20.0,500.0,0.001,20.0,0.0,0.373257203618383,0.6415694591728526,0.9174973488865301,0.3581813361611878,0.4913123500124872,1.1205419746259406,0.28766894479751204
19,20.0,500.0,0.001,20.0,1.0,0.382185826310556,0.6436903499469777,0.9136797454931063,0.3550954400848361,0.4894497318412224,1.128561156390332,0.2858481774167734
20,20.0,500.0,0.001,20.0,2.0,0.37086157085618304,0.6405090137857901,0.9204665959703054,0.35828738069989396,0.4933917077611361,1.1147035016688565,0.2860530804449455
